year,price
2019,2.999
2018,3.055
2017,2.682
2016,2.395
2015,2.645
2014,3.539
2013,3.663
2012,3.756
2011,3.644
2010,2.902
2009,2.474
2008,3.367
2007,2.904
2006,2.676
2005,2.370
