year,price
2019,3.251
2018,3.294
2017,2.917
2016,2.616
2015,2.830
2014,3.710
2013,3.822
2012,3.894
2011,3.771
2010,3.022
2009,2.590
2008,3.485
2007,3.008
2006,2.779
2005,2.468
